order_id,customer,region,product_line,quantity,unit_price,discount_rate,revenue,status,satisfaction_score
1059,Crest Industrial,North,Motors,12,7273,0.1,78548.4,Delayed,92
1060,NovaChem,West,Process Automation,13,3074,0.08,36765.04,Delayed,73
1061,HelioGrid Energy,North,Motors,18,15753,0.03,275047.38,In Progress,86
1062,Crest Industrial,East,Electrification,17,1890,0,32130,Delivered,78
1063,Fusion Mobility,West,Drives,12,18268,0,219216,Delayed,91
1064,Delta Metals,North,Robotics,11,13371,0.03,142668.57,Delivered,74
1065,BlueRiver Utilities,West,Electrification,18,14360,0,258480,In Progress,97
1066,HelioGrid Energy,North,Drives,18,17911,0.03,312726.06,Delivered,87
1067,Delta Metals,South,Drives,5,16495,0.03,80000.75,Delivered,91
1068,BlueRiver Utilities,South,Electrification,5,6357,0,31785,Delivered,96
1069,BlueRiver Utilities,Central,Process Automation,1,5147,0.08,4735.24,Delayed,82
1070,NovaChem,North,Robotics,2,7293,0.05,13856.7,Scheduled,80
1071,Apex Manufacturing,North,Electrification,12,8932,0.05,101824.8,Delivered,86
1072,Fusion Mobility,South,Electrification,16,17892,0.1,257644.8,Delayed,85
1073,NovaChem,Central,Drives,18,9864,0,177552,In Progress,96
1074,Crest Industrial,Central,Robotics,6,8381,0.08,46263.12,In Progress,92
1075,Evergreen Foods,South,Electrification,7,3429,0,24003,In Progress,76
1076,Delta Metals,North,Electrification,4,9700,0.05,36860.0,Scheduled,93
1077,HelioGrid Energy,North,Motors,11,15748,0.05,164566.6,Delivered,96
1078,Evergreen Foods,North,Electrification,17,8556,0.1,130906.8,Delivered,95
1079,Fusion Mobility,Central,Process Automation,12,1794,0.05,20451.6,Delayed,86
1080,Delta Metals,South,Motors,7,12173,0,85211,Delivered,83
